id,name,gender,birth_country,total_country_wins,award_year,category,age_at_award
470,Theodore Roosevelt Jr.,male,USA,298,1906,The Nobel Peace Prize,48
175,Theodore William Richards,male,USA,298,1914,The Nobel Prize in Chemistry,46
692,Theodore W. Schultz,male,USA,298,1979,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,77
842,Thomas A. Steitz,male,USA,298,2009,The Nobel Prize in Chemistry,69
800,Thomas C. Schelling,male,USA,298,2005,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,84
886,Thomas C. Südhof,male,Germany,78,2013,The Nobel Prize in Physiology or Medicine,58
325,Thomas Hunt Morgan,male,USA,298,1933,The Nobel Prize in Physiology or Medicine,67
357,Thomas Huckle Weller,male,USA,298,1954,The Nobel Prize in Physiology or Medicine,39
872,Thomas J. Sargent,male,USA,298,2011,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,68
602,Thomas Mann,male,Germany,78,1929,The Nobel Prize in Literature,54
274,Thomas R. Cech,male,USA,298,1989,The Nobel Prize in Chemistry,42
736,Tim Hunt,male,United Kingdom,94,2001,The Nobel Prize in Physiology or Medicine,58
687,Tjalling C. Koopmans,male,the Netherlands,20,1975,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,65
478,Tobias Michael Carel Asser,male,the Netherlands,20,1911,The Nobel Peace Prize,73
921,Tomas Lindahl,male,Sweden,30,2015,The Nobel Prize in Chemistry,77
868,Tomas Tranströmer,male,Sweden,30,2011,The Nobel Prize in Literature,80
670,Toni Morrison,female,USA,298,1993,The Nobel Prize in Literature,62
424,Torsten N. Wiesel,male,Sweden,30,1981,The Nobel Prize in Physiology or Medicine,57
828,Toshihide Maskawa,male,Japan,27,2008,The Nobel Prize in Physics,68
703,Trygve Haavelmo,male,Norway,13,1989,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,78
69,Tsung-Dao (T.D.) Lee,male,China,11,1957,The Nobel Prize in Physics,31
918,Tu Youyou,female,China,11,2015,The Nobel Prize in Physiology or Medicine,85
395,Ulf von Euler,male,Sweden,30,1970,The Nobel Prize in Physiology or Medicine,65
748,NA,NA,NA,NA,2001,The Nobel Peace Prize,NA
525,NA,NA,NA,NA,1965,The Nobel Peace Prize,NA
550,NA,NA,NA,NA,1988,The Nobel Peace Prize,NA
747,Sir Vidiadhar Surajprasad Naipaul,male,Trinidad and Tobago,1,2001,The Nobel Prize in Literature,69
117,Val Logsdon Fitch,male,USA,298,1980,The Nobel Prize in Physics,57
841,Venkatraman Ramakrishnan,male,India,10,2009,The Nobel Prize in Chemistry,57
585,Carl Gustaf Verner von Heidenstam,male,Sweden,30,1916,The Nobel Prize in Literature,57
760,Vernon L. Smith,male,USA,298,2002,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,75
653,Vicente Aleixandre,male,Spain,7,1977,The Nobel Prize in Literature,79
1035,Victor Ambros,male,USA,298,2024,The Nobel Prize in Physiology or Medicine,71
42,Victor Franz Hess,male,Austria,15,1936,The Nobel Prize in Physics,53
172,Victor Grignard,male,France,60,1912,The Nobel Prize in Chemistry,41
218,Vincent du Vigneaud,male,USA,298,1955,The Nobel Prize in Chemistry,54
767,Vitaly Lazarevich Ginzburg,male,Russia,18,2003,The Nobel Prize in Physics,87
248,Vladimir Prelog,male,Austria-Hungary,13,1975,The Nobel Prize in Chemistry,69
255,Walter Gilbert,male,USA,298,1980,The Nobel Prize in Chemistry,48
67,Walter Houser Brattain,male,China,11,1956,The Nobel Prize in Physics,54
347,Walter Rudolf Hess,male,Switzerland,19,1949,The Nobel Prize in Physiology or Medicine,68
290,Walter Kohn,male,Austria,15,1998,The Nobel Prize in Chemistry,75
62,Walther Bothe,male,Germany,78,1954,The Nobel Prize in Physics,63
178,Walther Hermann Nernst,male,Prussia,13,1920,The Nobel Prize in Chemistry,56
783,Wangari Muta Maathai,female,Kenya,1,2004,The Nobel Peace Prize,64
683,Wassily Wassilyevich Leontief,male,Russia,18,1973,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,67
206,Wendell Meredith Stanley,male,USA,298,1946,The Nobel Prize in Chemistry,42
414,Werner Arber,male,Switzerland,19,1978,The Nobel Prize in Physiology or Medicine,49
361,Werner Forssmann,male,Germany,78,1956,The Nobel Prize in Physiology or Medicine,52
